Latitude,Longitude,Stop/Station Name
49.618649,6.063925,Strassen. Chapelle
49.580849,6.1323870000000005,Howald. Pôle d'Échange
49.58084,6.132441,Howald. Pôle d'Échange
49.580678000000006,6.132324,Howald. Pôle d'Échange
49.636456,6.14375,Dommeldange. Van der Meulen
49.579599,6.128836,Gasperich/Howald. P&R Howald Quai 1
49.580373,6.132108000000001,Howald. Pôle d'Échange
49.641643,6.130293,Beggen. Binnchen
49.579392999999996,6.128764,Gasperich/Howald. P&R Howald Quai 2
49.614271,6.1634,Cents. Halte CFL
49.57906,6.127911,Gasperich/Howald. P&R Howald Quai 4
49.583564,6.142329,Howald. Bei der Kierch
49.638227,6.141556,Dommeldange. Jean Engling
49.578692,6.1275059999999995,Gasperich/Howald. P&R Howald Quai 3
49.641005,6.134446,Dommeldange. ArcelorMittal
49.621210999999995,6.16162,Neudorf. Kierch
49.613039,6.060797,Bertrange-Strassen. Gare
49.623683,6.160766000000001,Kirchberg. Marguerites
49.619242,6.163292,Cents. Charles de Tornaco
49.64087,6.136756,Luxembourg. Chingiz Aitmatov
49.611996999999995,6.165279,Hamm. Peupliers
49.629409,6.156928,Kirchberg. Konrad Adenauer
49.614262,6.165396,Cents. Cents-Hamm
49.579096,6.133816,Howald. Pôle d'Échange
49.621633,6.062011,Strassen. Geesseneck
49.57888,6.133385,Howald. Pôle d'Échange
49.643504,6.129439,Beggen. Kierch
49.595366999999996,6.160541,Itzig. Itzigerstee
49.578746,6.133493,Howald. Pôle d'Échange
49.626011,6.160757,Kirchberg. Universitéit
49.638829,6.144217,Dommeldange. Parc de l'Europe
49.626865,6.160514,Kirchberg. Coudenhove-Kalergi
49.611925,6.058388,Bertrange. Kierfecht
49.610009999999996,6.166834,Hamm. Kierch
49.619017,6.165728,Cents. Gabriel de Marie
49.616941,6.166681,Cents. Robert Bruch
49.622901,6.164272,Neudorf. Huesegrëndchen
49.643396,6.134778,Beggen. Cyprien Merjai
49.618613,6.058217,Strassen. Follereau
49.622640000000004,6.16527,Neiduerf. Brasserie
49.618145,6.057759,Strassen. Riedgen
49.577056,6.091351,Leudelange. Grasbösch
49.645823,6.128315,Beggen. Bastogne
49.621912,6.05846,Strassen. Terminus
49.626585999999996,6.163867,Kirchberg. Muguets
49.628636,6.16242,Kirchberg. Albert Borschette
49.646425,6.097994,Biirgerkräiz
49.576822,6.13547,Howald. Op der Stirzel
49.611017,6.169782,Hamm. Rue Haute
49.581846999999996,6.148514,Howald. Am Houwaldsbierg
49.576948,6.136558,Howald. Peternelchen
49.613110999999996,6.169899,Hamm. Rue de Bitbourg
49.580319,6.145907,Howald. Minsbësch
49.622136,6.057714,Strassen. Schoenacht
49.617633000000005,6.169567,Cents. Trèves
49.5731,6.11306,Kockelscheuer. Camping
49.625507,6.165899,Neudorf. Carrières
49.62353,6.168443,Neiduerf. Kapell
49.632618,6.161395,Kirchberg. Avalon
49.627009,6.166735,Kirchberg. Bricher Gässel
49.612590000000004,6.172542,Hamm. Käschtewee
49.617561,6.053408,Bertrange. Pesch
49.629247,6.166025,Kirchberg. Nationalbibliothéik / Bibliothèque Nati
49.647422999999996,6.134464,Beggen. Henri Dunant
49.629184,6.166294000000001,Kirchberg. Bricherhaff
49.640133,6.153053,Dommeldange. Dauschbuer
49.604733,6.0522480000000005,Bertrange. Dicks
49.618325,6.172434,Cents. Carmel
49.578296,6.1475610000000005,Howald. Waassertuerm
49.649437,6.127722,Beggen. Rue du Pont
49.603241,6.051655,Bertrange. Rue de Dippach
49.629157,6.167787000000001,Kirchberg. Labours
49.610576,6.050289,Bertrange. Gemeng
49.614872999999996,6.1745019999999995,Hamm. Ronndréisch
49.610972,6.049551999999999,Bertrange. Beim Schlass
49.620725,6.17425,Cents. Paul Albrecht
49.611862,6.048743,Bertrange. Wénkel
49.624168,6.1731169999999995,Neudorf. Laangegronn
49.605191999999995,6.049003,Bertrange. Bruch
49.632366,6.1674809999999995,Kirchberg. Réimerwee
49.615790000000004,6.048572,Bertrange. Rue de Mamer
49.586773,6.059718,Leudelange. Gare
49.609147,6.047781,Bertrange. Rue de la Pétrusse
49.619215000000004,6.176165,Cents. Camille Polfer
49.617867,6.048104,Bertrange. Millewee
49.648969,6.084448,Bridel. Schanz
49.621894,6.048868,Bertrange. Belle Etoile
49.634524,6.1674809999999995,Kirchberg. Chambre des Métiers
49.621912,6.048698,Bertrange. Gaston Thorn / LJBM
49.577118,6.153746,Hesperange. Wollefsmillen
49.630317,6.171499,Weimershof. Joseph Hackin
49.62113,6.048032,Bertrange. Waassertuerm
49.586341,6.167463,Itzig. An den Espen
49.637291999999995,6.165018,Kirchberg. Léon Thyes
49.631989000000004,6.170546,Kirchberg. Alphonse Weicker
49.616087,6.046342,Bertrange. Domaine Schwall
49.632052,6.170789,Kirchberg. John-F.-Kennedy
